RedshiftArchitectural	RedshiftSkin	mia_material_x_passes	mia_material_x	lambert	blinn	phong	phongE	anisotropic	mib_illum_blinn	surfaceShader
diffuse	shallow_color	diffuse	diffuse	color	color	color	color	color	diffuse	outColor
diffuse_weight	shallow_weight	diffuse_weight	diffuse_weight	diffuse	diffuse	diffuse	diffuse	diffuse		
diffuse	mid_color	diffuse	diffuse	color	color	color	color	color		
diffuse_weight	mid_weight	diffuse_weight	diffuse_weight	diffuse	diffuse	diffuse	diffuse	diffuse		
diffuse	deep_color	diffuse	diffuse	color	color	color	color	color		
diffuse_weight	deep_weight	diffuse_weight	diffuse_weight	diffuse	diffuse	diffuse	diffuse	diffuse		
diffuse_roughness	diffuse_roughness	diffuse_roughness	diffuse_roughness						roughness	
refl_color	deep_weight	refl_color	refl_color	specularColor	specularColor	specularColor	specularColor	specularColor	specular	
reflectivity	refl_weight0	reflectivity	reflectivity	reflectivity	reflectivity	reflectivity	reflectivity	reflectivity		
refl_gloss	refl_gloss0	refl_gloss	refl_gloss							
transparency		transparency	transparency	transparency	transparency	transparency	transparency	transparency		outTransparency
refr_color		refr_color	refr_color							
refr_gloss		refr_gloss	refr_gloss	lightAbsorbance	lightAbsorbance	lightAbsorbance	lightAbsorbance	lightAbsorbance		
		refr_ior	refr_ior	refractiveIndex	refractiveIndex	refractiveIndex	refractiveIndex	refractiveIndex	ior	
refr_gloss_samples		refr_gloss_samples	refr_gloss_samples							
bump_input	bump_input	standard_bump	standard_bump	normalCamera	normalCamera	normalCamera	normalCamera	normalCamera		
				ambientColor	ambientColor	ambientColor	ambientColor	ambientColor	ambient	
